FCTLOG	SerialNumber	CUS	TestTime	Column1	Status	TEXT1	TEXT2	TEXT3	TEXT4	OPNAME	TestTime
FCTLOG	3ABD00045053W2257762SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257804SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257806SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257828SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257846SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257850SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257921SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2257933SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257984SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2258021SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2258056SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
FCTLOG	3ABD00045053W2258217SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2258232SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257917SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2256646SB	ABP		ABP908-213182LF	Passed	FCT2				FCT1	
FCTLOG	3ABD00045053W2257143SB	ABP		ABP908-213182LF	Passed	FCT4				FCT1	
